"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:12:00,04:12:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,04:22:00,04:22:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:35:00,04:35:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,04:45:00,04:45:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:50:00,04:50:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,04:54:00,04:54:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:08:00,05:08:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:13:00,05:13:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:24:00,05:24:00,2
"RED LINE TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,25,05:28:00,05:28:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:33:00,05:33:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,25,05:39:00,05:39:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:44:00,05:44:00,2
"RED LINE TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,25,05:48:00,05:48:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:53:00,05:53:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,25,05:59:00,05:59:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,06:04:00,06:04:00,2
"RED LINE TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,25,06:08:00,06:08:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,06:13:00,06:13:00,2
