stop_lat,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.626358,,-90.189801,13357,NEAR SIDE BROADWAY @ CHESTNUT SB,BROADWAY @ CHESTNUT SB,0,13357
38.548621,,-90.013215,11542,NEAR SIDE MEMORIAL DR @ HIGH FOREST DR EB,MEMORIAL DR @ HIGH FOREST DR EB,0,11542
38.548579,,-90.011525,11543,NEAR SIDE MEMORIAL DR @ ROYAL HEIGHTS RD EB,MEMORIAL DR @ ROYAL HEIGHTS RD EB,0,11543
38.548684,,-90.018033,11540,FAR SIDE MEMORIAL DR @ N 43RD ST EB,MEMORIAL DR @ N 43RD ST EB,0,11540
38.548633,,-90.014177,11541,NEAR SIDE MEMORIAL DR @ N 39TH ST EB,MEMORIAL DR @ N 39TH ST EB,0,11541
38.602837,,-90.051768,11546,FAR SIDE IL ROUTE 157 @ CALIFORNIA DR NB,IL ROUTE 157 @ CALIFORNIA DR NB,0,11546
38.608484,,-90.048964,11547,NEAR SIDE IL ROUTE 157 @ GARDEN AVE NB,IL ROUTE 157 @ GARDEN AVE NB,0,11547
38.556321,,-90.018043,11545,FAR SIDE FRANK SCOTT PKY @ IDA DR NB,FRANK SCOTT PKY @ IDA DR NB,0,11545
38.610897,,-90.047617,11548,FAR SIDE IL ROUTE 157 @ TUCKER DR NB,IL ROUTE 157 @ TUCKER DR NB,0,11548
38.612687,,-90.046632,11549,NEAR SIDE IL ROUTE 157 @ RAUCKMAN DR NB,IL ROUTE 157 @ RAUCKMAN DR NB,0,11549
38.686873,,-90.328653,5988,FAR SIDE N HANLEY RD @ MONROE NB,N HANLEY RD @ MONROE NB,0,5988
38.688282,,-90.328662,5989,NEAR SIDE N HANLEY RD @ ALERT NB,N HANLEY RD @ ALERT NB,0,5989
38.680012,,-90.328586,5983,FAR SIDE N HANLEY RD @ MILAN NB,N HANLEY RD @ MILAN NB,0,5983
38.67507,,-90.32982,5980,NEAR SIDE N HANLEY RD @ ANNA NB,N HANLEY RD @ ANNA NB,0,5980
38.676698,,-90.328528,5981,FAR SIDE N HANLEY RD @ CANTON NB,N HANLEY RD @ CANTON NB,0,5981
38.684455,,-90.32867,5986,FAR SIDE N HANLEY RD @ WASHINGTON NB,N HANLEY RD @ WASHINGTON NB,0,5986
38.683138,,-90.3287,5985,NEAR SIDE N HANLEY RD @ PAGE NB,N HANLEY RD @ PAGE NB,0,5985
